longitude,latitude
-176.267,-75.042
-176.9,-75.0
-174.29,-74.902
-174.558,-74.842
-175.35,-74.643
-175.117,-74.083
-169.495,-73.938
-176.961,-73.536
-175.113,-73.338
-177.917,-73.057
-179.893,-72.973
-179.248,-72.647
-178.548,-72.287
-110.317,-71.033
-99.255,-70.408
-106.642,-70.172
-106.508,-70.172
-102.817,-70.14
-122.26,-70.1
-120.167,-70.0
-5.077,-69.998
-26.037,-69.982
-115.192,-69.978
-12.283,-69.97
-26.023,-69.935
-10.963,-69.918
-125.292,-69.535
-4.328,-69.493
-87.852,-69.412
-95.133,-69.348
-95.0,-69.348
-131.36,-69.325
-10.247,-69.303
-88.407,-69.218
-80.605,-69.167
-24.777,-69.008
-89.115,-68.983
-24.773,-68.982
-120.24,-68.95
-95.317,-68.933
-28.638,-68.825
-156.183,-68.813
-91.883,-68.747
-134.092,-68.74
-10.225,-68.697
10.965,-68.608
-3.085,-68.51
-3.095,-68.498
-176.365,-68.407
-23.982,-68.33
-82.91,-68.322
-114.733,-68.283
11.98,-68.167
-126.75,-68.133
-130.733,-68.117
-159.898,-68.077
-106.8,-68.067
-29.818,-68.022
-135.533,-68.017
-134.533,-68.017
-29.857,-68.013
-23.435,-67.988
-120.092,-67.983
-23.377,-67.973
-97.983,-67.967
-94.983,-67.967
-90.832,-67.938
-98.867,-67.933
-103.067,-67.917
-110.767,-67.9
14.58,-67.897
-124.483,-67.5
-1.835,-67.49
-22.687,-67.438
-74.783,-67.183
-109.088,-67.163
-89.657,-67.162
-134.6,-67.133
-136.75,-67.125
14.873,-67.02
-22.118,-67.005
-164.567,-67.0
-94.7,-67.0
-7.783,-66.99
-22.015,-66.987
-120.05,-66.983
-7.753,-66.982
-115.483,-66.918
-48.158,-66.558
-0.675,-66.508
-45.617,-66.5
-45.778,-66.412
-93.525,-66.393
-149.65,-66.312
-33.11,-66.268
-33.068,-66.267
-98.268,-66.26
-75.017,-66.233
-102.277,-66.197
-169.49,-66.128
-70.88,-66.125
-140.647,-66.04
-20.89,-66.015
15.34,-66.013
-15.012,-66.005
-134.667,-66.0
-94.483,-65.983
-82.863,-65.967
-70.25,-65.95
-89.042,-65.887
-115.083,-65.87
-115.017,-65.817
-112.427,-65.813
-124.113,-65.683
-107.055,-65.667
-121.305,-65.623
-138.267,-65.62
-18.527,-65.503
37.715,-65.398
-71.365,-65.388
-47.122,-65.143
-120.242,-65.113
-86.905,-65.092
-74.073,-65.085
-70.8,-65.067
-51.982,-65.052
-168.777,-65.028
9.183,-65.027
-139.718,-65.02
-134.867,-65.017
15.743,-65.002
-74.95,-65.0
-7.452,-64.978
-7.5,-64.977
-35.277,-64.967
-35.302,-64.965
-35.332,-64.962
-24.35,-64.958
-119.732,-64.938
-19.943,-64.935
-76.3,-64.917
-19.972,-64.908
-68.267,-64.9
-78.633,-64.85
-114.472,-64.843
-35.732,-64.802
-95.117,-64.783
-82.63,-64.782
-36.105,-64.708
-136.608,-64.617
-145.983,-64.517
